Title,Link
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/
Innate immune responses of Drosophila melanogaster are altered by spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/
Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/
HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/
ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/
Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/
Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/
Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/
Microgravity Stress: Bone and Connective Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/
S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/
Manipulating the permeation of charged compounds through the MscL nanovalve.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/
The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/
Three routes to modulate the pore size of the MscL channel/nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/
The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/
The MscS and MscL families of mechanosensitive channels act as microbial emergency release valves,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/
Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/
Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/
Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/
Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/
Desiccation of Hypsibius exemplaris,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/
The biology of tardigrade disordered proteins in extreme stress tolerance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/
Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/
Partial weight suspension: A novel murine model for investigating adaptation to reduced musculoskeletal loading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/
"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/
Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/
Spaceflight Activates Lipotoxic Pathways in Mouse Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/
Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/
RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/
Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/
Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/
"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/
"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/
Organization of the ER-Golgi interface for membrane traffic control.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/
IRE1: ER stress sensor and cell fate executor.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/
Inter-regulation of the unfolded protein response and auxin signaling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/
Endoplasmic reticulum-shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/
Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/
"Unfolded protein response in plants: one master, many questions.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/
Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/
Pectin methylesterification impacts the relationship between photosynthesis and plant growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/
Reduced Chloroplast Coverage genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/
Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/
NADPH oxidase activity is required for ER stress survival in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/
Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/
Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/
"High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/
Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/
Acceleration profiles and processing methods for parabolic flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/
Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/
Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/
Spaceflight increases sarcoplasmic reticulum Ca2+ leak and this cannot be counteracted with BuOE treatment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11271499/
Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/
Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9832585/
Genomic and functional characterization of Enterococcus faecalis isolates recovered from the International Space Station and their potential for pathogenicity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829349/
Evaluation of in vitro macrophage differentiation during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570223/
Identification of critical host mitochondrion-associated genes during Ehrlichia chaffeensis infections,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3457586/
Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558598/
Development and characterization of two porcine monocyte-derived macrophage cell lines.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11046949/
Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890248/
Bone marrow leptin signaling mediates obesity-associated adipose tissue inflammation in male mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3868799/
Establishment and characterization of DB-1: a leptin receptor-deficient murine macrophage cell line,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4960141/
Validation of methods to assess the immunoglobulin gene repertoire in tissues obtained from mice on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5736159/
Characterization of the naive murine antibody repertoire using unamplified high-throughput sequencing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761896/
Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826609/
A comparison of unamplified and massively multiplexed PCR amplification for murine antibody repertoire sequencing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6366624/
Effects of skeletal unloading on the antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/
Effects of skeletal unloading on the bone marrow antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/
An Analysis of the Effects of Spaceflight and Vaccination on Antibody Repertoire Diversity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10996920/
Effects of spaceflight aboard the International Space Station on mouse estrous cycle and ovarian gene expression,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7954810/
Effect of spaceflight on Pseudomonas aeruginosa final cell density is modulated by nutrient and oxygen availability.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4228280/
Spaceflight promotes biofilm formation by Pseudomonas aeruginosa.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3639165/
GeneLab: Omics database for spaceflight experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/
NASA GeneLab: Interfaces for the exploration of space omics data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7778922/
Comprehensive multi-omics analysis reveals mitochondrial stress as a central biological hub for spaceflight impact,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7870178/
A New Era for Space Life Science: International Standards for Space Omics Processing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733874/
Knowledge Network Embedding of Transcriptomic Data from Spaceflown Mice Uncovers Signs and Symptoms Associated with Terrestrial Diseases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7828077/
NASA GeneLab RNA-Seq Consensus Pipeline: Standardized Processing of Short-Read RNA-Seq Data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/
Spatially resolved multiomics on the neuronal effects induced by spaceflight in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166911/
Biological horizons: pioneering open science in the cosmos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167097/
Inspiration4 data access through the NASA Open Science Data Repository,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11094041/
NASA GeneLab derived microarray studies of Mus musculus and Homo sapiens organisms in altered gravitational conditions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11053165/
Celebrating 30 years of access to NASA space life sciences data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11403809/
Dichotomous effects on lymphatic transport with loss of caveolae in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8513672/
Fungal diversity differences in the indoor dust microbiome from built environments on Earth and in space.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11126634/
Predicting how varying moisture conditions impact the microbiome of dust collected from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11386075/
Aging and estrogen status: A possible endothelium-dependent vascular coupling mechanism in bone remodeling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3502426/
Chronic skeletal unloading of the rat femur: mechanisms and functional consequences of vascular remodeling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3856860/
Differential effects of aging and exercise on intra-abdominal adipose arteriolar function and blood flow regulation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3615599/
Effects of spaceflight and ground recovery on mesenteric artery and vein constrictor properties in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4050424/
"Spaceflight-induced alterations in cerebral artery vasoconstrictor, mechanical, and structural properties: Implications for elevated cerebral perfusion and intracranial pressure",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3659353/
Exercise training augments regional bone and marrow blood flow during exercise.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4169763/
Effects of Skeletal Unloading on the Vasomotor Properties of the Rat Femur Principal Nutrient Artery,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4398884/
Type 2 diabetes alters bone and marrow blood flow and vascular control mechanisms in the ZDF rat.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4379453/
Spaceflight on the Bion-M1 biosatellite alters cerebral artery vasomotor and mechanical properties in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4385880/
Apollo Lunar Astronauts Show Higher Cardiovascular Disease Mortality: Possible Deep Space Radiation Effects on the Vascular Endothelium,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4964660/
Effects of age and exercise training on coronary microvascular smooth muscle phenotype and function,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5866446/
Impact of Spaceflight and Artificial Gravity on the Mouse Retina: Biochemical and Proteomic Analysis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6165321/
Simulated microgravity induces regionally distinct neurovascular and structural remodeling of skeletal muscle and cutaneous arteries in the rat,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339929/
Spaceflight decelerates the epigenetic clock orchestrated with a global alteration in DNA methylome and transcriptome in the mouse retina,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8220224/
Development of otolith receptors in Japanese quail.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910419/
Spatial and temporal characteristics of vestibular convergence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3166430/
Bone remodeling is regulated by inner ear vestibular signals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6615562/
Simulated Microgravity Enhances Oligodendrocyte Mitochondrial Function and Lipid Metabolism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7324008/
Human Neural Stem Cells Flown into Space Proliferate and Generate Young Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8412175/
Delayed Maturation of Oligodendrocyte Progenitors by Microgravity: Implications for Multiple Sclerosis and Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10607959/
Space Microgravity Alters Neural Stem Cell Division: Implications for Brain Cancer Research on Earth and in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9699585/
Oligodendrocyte Progenitors Display Enhanced Proliferation and Autophagy after Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9953055/
Metabolomics profile of the secretome of space-flown oligodendrocytes.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10528075/
Metabolomic profiling of the secretome from human neural stem cells flown into space.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10813126/
"Strategies, research priorities, and challenges for the exploration of space beyond low-Earth orbit",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10390562/
Spaceflight Induces Specific Alterations in the Proteomes of Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4290804/
The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515520/
Skewing in Arabidopsis roots involves disparate environmental signaling pathways.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5286820/
"Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5470433/
Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491145/
Phenotypic characterization of an Arabidopsis T- DNA insertion line SALK_063500,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996828/
Utilization of single‐image normalized difference vegetation index (SI‐NDVI) for early plant stress detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201722/
Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240453/
Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6447593/
The Plant Health Monitoring System of the EDEN ISS Space Greenhouse in Antarctica during the 2018 experiment phase,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264257/
Root skewing-associated genes impact the spaceflight response of Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7064724/
Articular cartilage and sternal fibrocartilage respond differently to extended microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6379395/
Host-microbe interactions in microgravity: assessment and implications.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187166/
Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219934/
Symbiotic organs shaped by distinct modes of genome evolution in cephalopods.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6386654/
Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7940393/
Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9023564/
Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9389742/
In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(epsilon-caprolactone) scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824534/
Chondrogenesis and mineralization during in vitro culture of human mesenchymal stem cells on three-dimensional woven scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2991213/
Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/
Spaceflight alters host-gut microbiota interactions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/
Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/
Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/
Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/
Biocontrol in built environments to reduce pathogen exposure and infection risk.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/
Extracellular nucleotides elicit cytosolic free calcium oscillations in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329368/
"Calcium, mechanical signaling, and tip growth",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/
Gravitropism and mechanical signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/
"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035928/
Gravitropic signaling in plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/
Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181587/
A ROS-assisted calcium wave dependent on AtRBOHD and TPC1 propagates the systemic response to salt stress in Arabidopsis roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4936552/
"ROS, calcium and electric signals: Key mediators of rapid systemic signaling in plants",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7610290/
Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/
"Orchestrating rapid long-distance signaling in plants with Ca2+ , ROS, and electrical signals",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/
"Glutamate triggers long-distance, calcium-based plant defense signaling.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/
Test of Arabidopsis Space Transcriptome: A discovery environment to explore multiple plant biology spaceflight experiments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/
Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/
The fast and the furious: Rapid long-range signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8133610/
Rad-Bio-App: A discovery environment for biologists to explore spaceflight-related radiation exposures,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/
The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9706465/
Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/
"Low-dose, ionizing radiation and age-related changes in skeletal microarchitecture",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/
Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/
Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/
Hindlimb Unloading: Rodent Analog for Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/
Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/
Influence of social isolation during prolonged simulated weightlessness by hindlimb unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/
Validation of a new Rodent experimental System to investigate consequences of Long Duration Space Habitation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/
Skeletal tissue regulation by catalase over-expression in mitochondria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405755/
Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/
